pessoa,entidade_risco,saltos,tipo_caminho,caminho,relevante,intermediarios,tipos_intermediarios,grau_max_intermediario,grau_medio_intermediario,exclusividade
PERSON_043,RISK_003,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_043 > DEVICE_001 > PERSON_005 > RISK_003,False,DEVICE_001 > PERSON_005,Device > Person,6,5.5,0.1667
PERSON_044,RISK_001,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_044 > DEVICE_007 > PERSON_001 > RISK_001,False,DEVICE_007 > PERSON_001,Device > Person,4,3.5,0.25
PERSON_045,RISK_004,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_045 > ADDRESS_001 > COMPANY_002 > RISK_004,False,ADDRESS_001 > COMPANY_002,Address > Company,8,6.0,0.125
PERSON_047,RISK_002,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_047 > ADDRESS_011 > COMPANY_001 > RISK_002,False,ADDRESS_011 > COMPANY_001,Address > Company,7,5.5,0.1429
PERSON_048,RISK_004,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_048 > ADDRESS_033 > COMPANY_002 > RISK_004,False,ADDRESS_033 > COMPANY_002,Address > Company,7,5.5,0.1429
PERSON_052,RISK_003,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_052 > DEVICE_025 > PERSON_005 > RISK_003,False,DEVICE_025 > PERSON_005,Device > Person,8,6.5,0.125
PERSON_052,RISK_004,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_052 > ADDRESS_001 > COMPANY_002 > RISK_004,False,ADDRESS_001 > COMPANY_002,Address > Company,8,6.0,0.125
PERSON_061,RISK_002,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_061 > ADDRESS_011 > COMPANY_001 > RISK_002,False,ADDRESS_011 > COMPANY_001,Address > Company,7,5.5,0.1429
PERSON_065,RISK_003,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_065 > DEVICE_001 > PERSON_005 > RISK_003,False,DEVICE_001 > PERSON_005,Device > Person,6,5.5,0.1667
PERSON_070,RISK_004,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_070 > ADDRESS_001 > COMPANY_002 > RISK_004,False,ADDRESS_001 > COMPANY_002,Address > Company,8,6.0,0.125
PERSON_074,RISK_003,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_074 > DEVICE_025 > PERSON_005 > RISK_003,False,DEVICE_025 > PERSON_005,Device > Person,8,6.5,0.125
PERSON_077,RISK_003,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_077 > DEVICE_001 > PERSON_005 > RISK_003,False,DEVICE_001 > PERSON_005,Device > Person,6,5.5,0.1667
PERSON_078,RISK_002,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_078 > ADDRESS_011 > COMPANY_001 > RISK_002,False,ADDRESS_011 > COMPANY_001,Address > Company,7,5.5,0.1429
PERSON_079,RISK_001,3,LIVES_AT > LIVES_AT > MATCHED_TO,PERSON_079 > ADDRESS_009 > PERSON_001 > RISK_001,False,ADDRESS_009 > PERSON_001,Address > Person,4,3.0,0.25
PERSON_079,RISK_003,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_079 > DEVICE_025 > PERSON_005 > RISK_003,False,DEVICE_025 > PERSON_005,Device > Person,8,6.5,0.125
PERSON_080,RISK_003,3,LIVES_AT > LIVES_AT > MATCHED_TO,PERSON_080 > ADDRESS_017 > PERSON_005 > RISK_003,False,ADDRESS_017 > PERSON_005,Address > Person,5,4.5,0.2
PERSON_081,RISK_001,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_081 > DEVICE_007 > PERSON_001 > RISK_001,False,DEVICE_007 > PERSON_001,Device > Person,4,3.5,0.25
PERSON_083,RISK_004,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_083 > ADDRESS_033 > COMPANY_002 > RISK_004,False,ADDRESS_033 > COMPANY_002,Address > Company,7,5.5,0.1429
PERSON_085,RISK_002,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_085 > ADDRESS_011 > COMPANY_001 > RISK_002,False,ADDRESS_011 > COMPANY_001,Address > Company,7,5.5,0.1429
PERSON_087,RISK_004,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_087 > ADDRESS_033 > COMPANY_002 > RISK_004,False,ADDRESS_033 > COMPANY_002,Address > Company,7,5.5,0.1429
PERSON_095,RISK_003,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_095 > DEVICE_025 > PERSON_005 > RISK_003,False,DEVICE_025 > PERSON_005,Device > Person,8,6.5,0.125
PERSON_097,RISK_003,3,LIVES_AT > LIVES_AT > MATCHED_TO,PERSON_097 > ADDRESS_017 > PERSON_005 > RISK_003,False,ADDRESS_017 > PERSON_005,Address > Person,5,4.5,0.2
PERSON_100,RISK_003,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_100 > DEVICE_025 > PERSON_005 > RISK_003,False,DEVICE_025 > PERSON_005,Device > Person,8,6.5,0.125
