pessoa,entidade_risco,saltos,tipos_relacao,caminho,ground_truth,tipo_exposicao
PERSON_077,RISK_003,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_077 > DEVICE_001 > PERSON_005 > RISK_003,False,Indireta
PERSON_006,RISK_003,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_006 > DEVICE_025 > PERSON_005 > RISK_003,False,Indireta
PERSON_032,RISK_003,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_032 > DEVICE_025 > PERSON_005 > RISK_003,False,Indireta
PERSON_052,RISK_003,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_052 > DEVICE_025 > PERSON_005 > RISK_003,False,Indireta
PERSON_074,RISK_003,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_074 > DEVICE_025 > PERSON_005 > RISK_003,False,Indireta
PERSON_079,RISK_003,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_079 > DEVICE_025 > PERSON_005 > RISK_003,False,Indireta
PERSON_095,RISK_003,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_095 > DEVICE_025 > PERSON_005 > RISK_003,False,Indireta
PERSON_100,RISK_003,3,USES_DEVICE > USES_DEVICE > MATCHED_TO,PERSON_100 > DEVICE_025 > PERSON_005 > RISK_003,False,Indireta
PERSON_006,RISK_004,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_006 > ADDRESS_001 > COMPANY_002 > RISK_004,True,Indireta
PERSON_022,RISK_004,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_022 > ADDRESS_001 > COMPANY_002 > RISK_004,False,Indireta
PERSON_028,RISK_004,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_028 > ADDRESS_001 > COMPANY_002 > RISK_004,False,Indireta
PERSON_045,RISK_004,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_045 > ADDRESS_001 > COMPANY_002 > RISK_004,False,Indireta
PERSON_052,RISK_004,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_052 > ADDRESS_001 > COMPANY_002 > RISK_004,False,Indireta
PERSON_070,RISK_004,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_070 > ADDRESS_001 > COMPANY_002 > RISK_004,False,Indireta
PERSON_042,RISK_004,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_042 > ADDRESS_033 > COMPANY_002 > RISK_004,False,Indireta
PERSON_048,RISK_004,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_048 > ADDRESS_033 > COMPANY_002 > RISK_004,False,Indireta
PERSON_083,RISK_004,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_083 > ADDRESS_033 > COMPANY_002 > RISK_004,False,Indireta
PERSON_087,RISK_004,3,LIVES_AT > REGISTERED_AT > MATCHED_TO,PERSON_087 > ADDRESS_033 > COMPANY_002 > RISK_004,False,Indireta
