grupo,id,valor,party_type_id,feature_type_group_id,script_code
IDRegDocType,1580,C.I.F.,,,
IDRegDocType,1581,Business Registration Document #,,,
IDRegDocType,1582,RIF #,,,
IDRegDocType,1584,National ID No.,,,
IDRegDocType,1585,Registration ID,,,
IDRegDocType,1586,LE Number,,,
IDRegDocType,1587,Bosnian Personal ID No.,,,
IDRegDocType,1588,Registered Charity No.,,,
IDRegDocType,1589,V.A.T. Number,,,
IDRegDocType,1590,Credencial electoral,,,
IDRegDocType,1591,Kenyan ID No.,,,
IDRegDocType,1592,Italian Fiscal Code,,,
IDRegDocType,1593,Serial No.,,,
IDRegDocType,1594,C.I.N.,,,
IDRegDocType,1595,C.U.I.T.,,,
IDRegDocType,1596,Tax ID No.,,,
IDRegDocType,1597,Moroccan Personal ID No.,,,
IDRegDocType,1598,Public Security and Immigration No.,,,
IDRegDocType,1600,C.U.R.P.,,,
IDRegDocType,1601,British National Overseas Passport,,,
IDRegDocType,1602,C.R. No.,,,
IDRegDocType,1603,UK Company Number,,,
IDRegDocType,1604,Immigration No.,,,
IDRegDocType,1605,Travel Document Number,,,
IDRegDocType,1607,Electoral Registry No.,,,
IDRegDocType,1608,Identification Number,,,
IDRegDocType,1609,Paraguayan tax identification number,,,
IDRegDocType,1611,National Foreign ID Number,,,
IDRegDocType,1612,RFC,,,
IDRegDocType,1613,Diplomatic Passport,,,
IDRegDocType,1614,Dubai Chamber of Commerce Membership No.,,,
IDRegDocType,1615,Trade License No.,,,
IDRegDocType,1619,Commercial Registry Number,,,
IDRegDocType,1620,Certificate of Incorporation Number,,,
IDRegDocType,1621,Tourism License No.,,,
IDRegDocType,1623,Aircraft Serial Identification,,,
IDRegDocType,1624,Cartilla de Servicio Militar Nacional,,,
IDRegDocType,1625,C.U.I.P.,,,
IDRegDocType,1626,Vessel Registration Identification,,,
IDRegDocType,1627,Personal ID Card,,,
IDRegDocType,1628,Federal ID Card,,,
IDRegDocType,1629,Registration Certificate Number (Dubai),,,
IDRegDocType,1630,VisaNumberID,,,
IDRegDocType,1631,Matricula Mercantil No,,,
IDRegDocType,1632,Residency Number,,,
IDRegDocType,1633,Numero Unico de Identificacao Tributaria (NUIT),,,
IDRegDocType,1634,CNP (Personal Numerical Code),,,
IDRegDocType,1635,Romanian Permanent Resident,,,
IDRegDocType,1636,Government Gazette Number,,,
IDRegDocType,1638,Fiscal Code,,,
IDRegDocType,1639,Pilot License Number,,,
IDRegDocType,1642,Romanian C.R.,,,
IDRegDocType,1643,Folio Mercantil No.,,,
IDRegDocType,1644,Istanbul Chamber of Comm. No.,,,
IDRegDocType,1645,Turkish Identification Number,,,
IDRegDocType,1646,Romanian Tax Registration,,,
IDRegDocType,1647,Stateless Person Passport,,,
IDRegDocType,1648,Stateless Person ID Card,,,
IDRegDocType,1649,Refugee ID Card,,,
IDRegDocType,91236,Afghan Money Service Provider License Number,,,
IDRegDocType,91264,MMSI,,,
IDRegDocType,91412,Company Number,,,
IDRegDocType,91475,Public Registration Number,,,
IDRegDocType,91478,N.I.F.,,,
IDRegDocType,91481,RTN,,,
IDRegDocType,91482,Numero de Identidad,,,
IDRegDocType,91483,Tarjeta de Identidad,,,
IDRegDocType,91484,SRE Permit No.,,,
IDRegDocType,91492,Tazkira National ID Card,,,
IDRegDocType,91504,License,,,
IDRegDocType,91508,Chinese Commercial Code,,,
IDRegDocType,91712,I.F.E.,,,
IDRegDocType,91719,Branch Unit Number,,,
IDRegDocType,91720,Enterprise Number,,,
IDRegDocType,91721,Organization Code,,,
IDRegDocType,91739,Citizen's Card Number,,,
IDRegDocType,91740,UAE Identification,,,
IDRegDocType,91747,United Social Credit Code Certificate (USCCC),,,
IDRegDocType,91751,Chamber of Commerce Number,,,
IDRegDocType,91752,Legal Entity Number,,,
IDRegDocType,91753,Business Number,,,
IDRegDocType,91759,Birth Certificate Number,,,
IDRegDocType,91760,Business Registration Number,,,
IDRegDocType,91761,Registration Number,,,
IDRegDocType,91812,MSB Registration Number,,,
IDRegDocType,91835,File Number,,,
IDRegDocType,91854,C.U.I.,,,
IDRegDocType,91891,Seafarer's Identification Document,,,
IDRegDocType,92001,Unified Social Credit Code (USCC),,,
IDRegDocType,92067,Central Registration System Number,,,
IDRegDocType,92121,Economic Register Number (CBLS),,,
IDRegDocType,92158,Trademark number,,,
IDRegDocType,92159,Permit Number,,,
IDRegDocType,92728,Military Registration Number,,,
IDRegDocType,92772,Russian State Individual Business Registration Number Pattern (OGRNIP),,,
IDRegDocType,92790,Global Intermediary Identification Number,,,
IDRegDocType,92883,Entity Code,,,
NamePartType,1520,Last Name,,,
NamePartType,1521,First Name,,,
NamePartType,1522,Middle Name,,,
NamePartType,1523,Maiden Name,,,
NamePartType,1524,Aircraft Name,,,
NamePartType,1525,Entity Name,,,
NamePartType,1526,Vessel Name,,,
NamePartType,1528,Nickname,,,
NamePartType,91708,Patronymic,,,
NamePartType,91709,Matronymic,,,
PartySubType,1,Vessel,4,,
PartySubType,2,Aircraft,4,,
PartySubType,3,Unknown,2,,
PartySubType,4,Unknown,1,,
PartyType,1,Individual,,,
PartyType,2,Entity,,,
PartyType,3,Location,,,
PartyType,4,Transport,,,
PartyType,5,Other Entity,,,
SanctionsProgram,1,Unknown,,,
SanctionsProgram,202,CUBA,,,
SanctionsProgram,203,SDNTK,,,
SanctionsProgram,204,FTO,,,
SanctionsProgram,205,IRAN,,,
SanctionsProgram,211,SDGT,,,
SanctionsProgram,212,SDNT,,,
SanctionsProgram,1001,IRAQ2,,,
SanctionsProgram,10008,BALKANS,,,
SanctionsProgram,91031,NPWMD,,,
SanctionsProgram,91055,NS-PLC,,,
SanctionsProgram,91057,BELARUS,,,
SanctionsProgram,91070,DRCONGO,,,
SanctionsProgram,91101,DARFUR,,,
SanctionsProgram,91103,IRAQ3,,,
SanctionsProgram,91104,LEBANON,,,
SanctionsProgram,91154,SOMALIA,,,
SanctionsProgram,91166,IRGC,,,
SanctionsProgram,91167,IFSR,,,
SanctionsProgram,91168,DPRK,,,
SanctionsProgram,91169,IRAN-HR,,,
SanctionsProgram,91185,LIBYA2,,,
SanctionsProgram,91221,TCO,,,
SanctionsProgram,91230,HRIT-SY,,,
SanctionsProgram,91231,HRIT-IR,,,
SanctionsProgram,91423,YEMEN,,,
SanctionsProgram,91427,IRAN-TRA,,,
SanctionsProgram,91435,MAGNIT,,,
SanctionsProgram,91459,IFCA,,,
SanctionsProgram,91493,UKRAINE-EO13660,,,
SanctionsProgram,91495,CAR,,,
SanctionsProgram,91496,SOUTH SUDAN,,,
SanctionsProgram,91499,UKRAINE-EO13661,,,
SanctionsProgram,91502,UKRAINE-EO13662,,,
SanctionsProgram,91698,LIBYA3,,,
SanctionsProgram,91700,DPRK2,,,
SanctionsProgram,91702,UKRAINE-EO13685,,,
SanctionsProgram,91705,VENEZUELA,,,
SanctionsProgram,91735,DPRK3,,,
SanctionsProgram,91741,CYBER2,,,
SanctionsProgram,91744,DPRK4,,,
SanctionsProgram,91748,GLOMAG,,,
SanctionsProgram,91755,CAATSA - IRAN,,,
SanctionsProgram,91757,CAATSA - RUSSIA,,,
SanctionsProgram,91807,ELECTION-EO13848,,,
SanctionsProgram,91808,NICARAGUA,,,
SanctionsProgram,91810,VENEZUELA-EO13850,,,
SanctionsProgram,91855,IRAN-EO13871,,,
SanctionsProgram,91857,NICARAGUA-NHRAA,,,
SanctionsProgram,91858,DPRK-NKSPEA,,,
SanctionsProgram,91862,IRAN-EO13876,,,
SanctionsProgram,91863,MALI-EO13882,,,
SanctionsProgram,91869,IRAN-EO13846,,,
SanctionsProgram,91895,PAARSSR-EO13894,,,
SanctionsProgram,91896,VENEZUELA-EO13884,,,
SanctionsProgram,91901,IRAN-EO13902,,,
SanctionsProgram,91903,ILLICIT-DRUGS-EO14059,,,
SanctionsProgram,92002,IRAN-CON-ARMS-EO,,,
SanctionsProgram,92030,BURMA-EO14014,,,
SanctionsProgram,92042,RUSSIA-EO14024,,,
SanctionsProgram,92064,PEESA-EO14039,,,
SanctionsProgram,92069,BELARUS-EO14038,,,
SanctionsProgram,92073,BALKANS-EO14033,,,
SanctionsProgram,92075,ETHIOPIA-EO14046,,,
SanctionsProgram,92078,SSIDES,,,
SanctionsProgram,92100,RUSSIA-EO14065,,,
SanctionsProgram,92138,HOSTAGES-EO14078,,,
SanctionsProgram,92140,UHRPA,,,
SanctionsProgram,92156,SUDAN-EO14098,,,
SanctionsProgram,92795,CYBER3,,,
SanctionsProgram,92812,ICC-EO14203,,,
SanctionsProgram,92825,CYBER4,,,
SanctionsProgram,92865,PAIPA,,,
SanctionsProgram,92882,CUBA-EO14404,,,
Script,160,Arabic,,,Arab
Script,230,Armenian,,,Armn
Script,501,Chinese Simplified,,,Hans
Script,502,Chinese Traditional,,,Hant
Script,220,Cyrillic,,,Cyrl
Script,240,Georgian,,,Geor
Script,200,Greek,,,Grek
Script,286,Hangul,,,Hang
Script,125,Hebrew,,,Hebrew
Script,413,Japanese,,,Japanese
Script,287,Korean,,,Korean
Script,215,Latin,,,Latin
