origem,destino,tipo,contexto
PERSON_008,ADDRESS_023,LIVES_AT,endereço cadastrado
PERSON_009,DEVICE_009,USES_DEVICE,uso de dispositivo
PERSON_009,ADDRESS_022,LIVES_AT,endereço cadastrado
PERSON_010,DEVICE_016,USES_DEVICE,uso de dispositivo
PERSON_010,ADDRESS_032,LIVES_AT,endereço cadastrado
PERSON_011,DEVICE_008,USES_DEVICE,uso de dispositivo
PERSON_011,ADDRESS_035,LIVES_AT,endereço cadastrado
PERSON_012,DEVICE_029,USES_DEVICE,uso de dispositivo
PERSON_012,ADDRESS_007,LIVES_AT,endereço cadastrado
PERSON_013,DEVICE_005,USES_DEVICE,uso de dispositivo
PERSON_013,ADDRESS_019,LIVES_AT,endereço cadastrado
PERSON_014,DEVICE_002,USES_DEVICE,uso de dispositivo
PERSON_014,ADDRESS_011,LIVES_AT,endereço cadastrado
PERSON_015,DEVICE_014,USES_DEVICE,uso de dispositivo
PERSON_015,ADDRESS_034,LIVES_AT,endereço cadastrado
PERSON_016,DEVICE_030,USES_DEVICE,uso de dispositivo
PERSON_016,ADDRESS_006,LIVES_AT,endereço cadastrado
PERSON_017,DEVICE_027,USES_DEVICE,uso de dispositivo
PERSON_017,ADDRESS_004,LIVES_AT,endereço cadastrado
PERSON_018,DEVICE_023,USES_DEVICE,uso de dispositivo
PERSON_018,ADDRESS_030,LIVES_AT,endereço cadastrado
PERSON_019,DEVICE_027,USES_DEVICE,uso de dispositivo
PERSON_019,ADDRESS_008,LIVES_AT,endereço cadastrado
PERSON_020,DEVICE_027,USES_DEVICE,uso de dispositivo
PERSON_020,ADDRESS_005,LIVES_AT,endereço cadastrado
PERSON_021,DEVICE_016,USES_DEVICE,uso de dispositivo
PERSON_021,ADDRESS_017,LIVES_AT,endereço cadastrado
PERSON_022,DEVICE_010,USES_DEVICE,uso de dispositivo
PERSON_022,ADDRESS_001,LIVES_AT,endereço cadastrado
PERSON_023,DEVICE_024,USES_DEVICE,uso de dispositivo
PERSON_023,ADDRESS_012,LIVES_AT,endereço cadastrado
PERSON_024,DEVICE_020,USES_DEVICE,uso de dispositivo
PERSON_024,ADDRESS_015,LIVES_AT,endereço cadastrado
PERSON_025,DEVICE_012,USES_DEVICE,uso de dispositivo
PERSON_025,ADDRESS_032,LIVES_AT,endereço cadastrado
PERSON_026,DEVICE_003,USES_DEVICE,uso de dispositivo
PERSON_026,ADDRESS_026,LIVES_AT,endereço cadastrado
PERSON_027,DEVICE_023,USES_DEVICE,uso de dispositivo
PERSON_027,ADDRESS_014,LIVES_AT,endereço cadastrado
PERSON_028,DEVICE_008,USES_DEVICE,uso de dispositivo
PERSON_028,ADDRESS_001,LIVES_AT,endereço cadastrado
PERSON_029,DEVICE_029,USES_DEVICE,uso de dispositivo
PERSON_029,ADDRESS_034,LIVES_AT,endereço cadastrado
PERSON_030,DEVICE_008,USES_DEVICE,uso de dispositivo
PERSON_030,ADDRESS_002,LIVES_AT,endereço cadastrado
PERSON_031,DEVICE_004,USES_DEVICE,uso de dispositivo
PERSON_031,ADDRESS_003,LIVES_AT,endereço cadastrado
PERSON_032,DEVICE_025,USES_DEVICE,uso de dispositivo
PERSON_032,ADDRESS_032,LIVES_AT,endereço cadastrado
PERSON_033,DEVICE_005,USES_DEVICE,uso de dispositivo
PERSON_033,ADDRESS_027,LIVES_AT,endereço cadastrado
PERSON_034,DEVICE_006,USES_DEVICE,uso de dispositivo
PERSON_034,ADDRESS_013,LIVES_AT,endereço cadastrado
PERSON_035,DEVICE_018,USES_DEVICE,uso de dispositivo
PERSON_035,ADDRESS_026,LIVES_AT,endereço cadastrado
PERSON_036,DEVICE_027,USES_DEVICE,uso de dispositivo
PERSON_036,ADDRESS_002,LIVES_AT,endereço cadastrado
PERSON_037,DEVICE_006,USES_DEVICE,uso de dispositivo
PERSON_037,ADDRESS_010,LIVES_AT,endereço cadastrado
PERSON_038,DEVICE_010,USES_DEVICE,uso de dispositivo
PERSON_038,ADDRESS_035,LIVES_AT,endereço cadastrado
PERSON_039,DEVICE_024,USES_DEVICE,uso de dispositivo
PERSON_039,ADDRESS_012,LIVES_AT,endereço cadastrado
PERSON_040,DEVICE_030,USES_DEVICE,uso de dispositivo
PERSON_040,ADDRESS_018,LIVES_AT,endereço cadastrado
PERSON_041,DEVICE_016,USES_DEVICE,uso de dispositivo
PERSON_041,ADDRESS_016,LIVES_AT,endereço cadastrado
PERSON_042,DEVICE_005,USES_DEVICE,uso de dispositivo
PERSON_042,ADDRESS_033,LIVES_AT,endereço cadastrado
PERSON_043,DEVICE_001,USES_DEVICE,uso de dispositivo
PERSON_043,ADDRESS_007,LIVES_AT,endereço cadastrado
PERSON_044,DEVICE_007,USES_DEVICE,uso de dispositivo
PERSON_044,ADDRESS_010,LIVES_AT,endereço cadastrado
PERSON_045,DEVICE_004,USES_DEVICE,uso de dispositivo
PERSON_045,ADDRESS_001,LIVES_AT,endereço cadastrado
PERSON_046,DEVICE_021,USES_DEVICE,uso de dispositivo
PERSON_046,ADDRESS_034,LIVES_AT,endereço cadastrado
PERSON_047,DEVICE_004,USES_DEVICE,uso de dispositivo
PERSON_047,ADDRESS_011,LIVES_AT,endereço cadastrado
PERSON_048,DEVICE_016,USES_DEVICE,uso de dispositivo
PERSON_048,ADDRESS_033,LIVES_AT,endereço cadastrado
PERSON_049,DEVICE_021,USES_DEVICE,uso de dispositivo
PERSON_049,ADDRESS_027,LIVES_AT,endereço cadastrado
PERSON_050,DEVICE_018,USES_DEVICE,uso de dispositivo
PERSON_050,ADDRESS_015,LIVES_AT,endereço cadastrado
PERSON_051,DEVICE_006,USES_DEVICE,uso de dispositivo
PERSON_051,ADDRESS_031,LIVES_AT,endereço cadastrado
PERSON_052,DEVICE_025,USES_DEVICE,uso de dispositivo
PERSON_052,ADDRESS_001,LIVES_AT,endereço cadastrado
PERSON_053,DEVICE_022,USES_DEVICE,uso de dispositivo
PERSON_053,ADDRESS_003,LIVES_AT,endereço cadastrado
PERSON_054,DEVICE_023,USES_DEVICE,uso de dispositivo
PERSON_054,ADDRESS_029,LIVES_AT,endereço cadastrado
PERSON_055,DEVICE_004,USES_DEVICE,uso de dispositivo
PERSON_055,ADDRESS_016,LIVES_AT,endereço cadastrado
PERSON_056,DEVICE_004,USES_DEVICE,uso de dispositivo
PERSON_056,ADDRESS_020,LIVES_AT,endereço cadastrado
PERSON_057,DEVICE_028,USES_DEVICE,uso de dispositivo
PERSON_057,ADDRESS_003,LIVES_AT,endereço cadastrado
PERSON_058,DEVICE_012,USES_DEVICE,uso de dispositivo
PERSON_058,ADDRESS_035,LIVES_AT,endereço cadastrado
PERSON_059,DEVICE_010,USES_DEVICE,uso de dispositivo
PERSON_059,ADDRESS_005,LIVES_AT,endereço cadastrado
PERSON_060,DEVICE_015,USES_DEVICE,uso de dispositivo
PERSON_060,ADDRESS_018,LIVES_AT,endereço cadastrado
PERSON_061,DEVICE_020,USES_DEVICE,uso de dispositivo
PERSON_061,ADDRESS_011,LIVES_AT,endereço cadastrado
PERSON_062,DEVICE_029,USES_DEVICE,uso de dispositivo
PERSON_062,ADDRESS_019,LIVES_AT,endereço cadastrado
PERSON_063,DEVICE_009,USES_DEVICE,uso de dispositivo
PERSON_063,ADDRESS_034,LIVES_AT,endereço cadastrado
PERSON_064,DEVICE_028,USES_DEVICE,uso de dispositivo
PERSON_064,ADDRESS_018,LIVES_AT,endereço cadastrado
PERSON_065,DEVICE_001,USES_DEVICE,uso de dispositivo
PERSON_065,ADDRESS_021,LIVES_AT,endereço cadastrado
PERSON_066,DEVICE_017,USES_DEVICE,uso de dispositivo
PERSON_066,ADDRESS_006,LIVES_AT,endereço cadastrado
PERSON_067,DEVICE_020,USES_DEVICE,uso de dispositivo
PERSON_067,ADDRESS_030,LIVES_AT,endereço cadastrado
PERSON_068,DEVICE_004,USES_DEVICE,uso de dispositivo
PERSON_068,ADDRESS_026,LIVES_AT,endereço cadastrado
PERSON_069,DEVICE_005,USES_DEVICE,uso de dispositivo
PERSON_069,ADDRESS_027,LIVES_AT,endereço cadastrado
PERSON_070,DEVICE_013,USES_DEVICE,uso de dispositivo
PERSON_070,ADDRESS_001,LIVES_AT,endereço cadastrado
PERSON_071,DEVICE_029,USES_DEVICE,uso de dispositivo
PERSON_071,ADDRESS_006,LIVES_AT,endereço cadastrado
PERSON_072,DEVICE_018,USES_DEVICE,uso de dispositivo
PERSON_072,ADDRESS_007,LIVES_AT,endereço cadastrado
PERSON_073,DEVICE_028,USES_DEVICE,uso de dispositivo
PERSON_073,ADDRESS_026,LIVES_AT,endereço cadastrado
PERSON_074,DEVICE_025,USES_DEVICE,uso de dispositivo
PERSON_074,ADDRESS_016,LIVES_AT,endereço cadastrado
PERSON_075,DEVICE_015,USES_DEVICE,uso de dispositivo
PERSON_075,ADDRESS_023,LIVES_AT,endereço cadastrado
PERSON_076,DEVICE_024,USES_DEVICE,uso de dispositivo
PERSON_076,ADDRESS_030,LIVES_AT,endereço cadastrado
PERSON_077,DEVICE_001,USES_DEVICE,uso de dispositivo
PERSON_077,ADDRESS_024,LIVES_AT,endereço cadastrado
PERSON_078,DEVICE_004,USES_DEVICE,uso de dispositivo
PERSON_078,ADDRESS_011,LIVES_AT,endereço cadastrado
PERSON_079,DEVICE_025,USES_DEVICE,uso de dispositivo
PERSON_079,ADDRESS_009,LIVES_AT,endereço cadastrado
PERSON_080,DEVICE_024,USES_DEVICE,uso de dispositivo
PERSON_080,ADDRESS_017,LIVES_AT,endereço cadastrado
PERSON_081,DEVICE_007,USES_DEVICE,uso de dispositivo
PERSON_081,ADDRESS_012,LIVES_AT,endereço cadastrado
PERSON_082,DEVICE_016,USES_DEVICE,uso de dispositivo
PERSON_082,ADDRESS_027,LIVES_AT,endereço cadastrado
PERSON_083,DEVICE_019,USES_DEVICE,uso de dispositivo
PERSON_083,ADDRESS_033,LIVES_AT,endereço cadastrado
PERSON_084,DEVICE_027,USES_DEVICE,uso de dispositivo
PERSON_084,ADDRESS_027,LIVES_AT,endereço cadastrado
PERSON_085,DEVICE_019,USES_DEVICE,uso de dispositivo
PERSON_085,ADDRESS_011,LIVES_AT,endereço cadastrado
PERSON_086,DEVICE_013,USES_DEVICE,uso de dispositivo
PERSON_086,ADDRESS_005,LIVES_AT,endereço cadastrado
PERSON_087,DEVICE_012,USES_DEVICE,uso de dispositivo
PERSON_087,ADDRESS_033,LIVES_AT,endereço cadastrado
PERSON_088,DEVICE_013,USES_DEVICE,uso de dispositivo
PERSON_088,ADDRESS_004,LIVES_AT,endereço cadastrado
PERSON_089,DEVICE_020,USES_DEVICE,uso de dispositivo
PERSON_089,ADDRESS_034,LIVES_AT,endereço cadastrado
PERSON_090,DEVICE_027,USES_DEVICE,uso de dispositivo
PERSON_090,ADDRESS_010,LIVES_AT,endereço cadastrado
PERSON_091,DEVICE_014,USES_DEVICE,uso de dispositivo
PERSON_091,ADDRESS_019,LIVES_AT,endereço cadastrado
PERSON_092,DEVICE_008,USES_DEVICE,uso de dispositivo
PERSON_092,ADDRESS_010,LIVES_AT,endereço cadastrado
PERSON_093,DEVICE_008,USES_DEVICE,uso de dispositivo
PERSON_093,ADDRESS_035,LIVES_AT,endereço cadastrado
PERSON_094,DEVICE_023,USES_DEVICE,uso de dispositivo
PERSON_094,ADDRESS_030,LIVES_AT,endereço cadastrado
PERSON_095,DEVICE_025,USES_DEVICE,uso de dispositivo
PERSON_095,ADDRESS_034,LIVES_AT,endereço cadastrado
PERSON_096,DEVICE_004,USES_DEVICE,uso de dispositivo
PERSON_096,ADDRESS_031,LIVES_AT,endereço cadastrado
PERSON_097,DEVICE_002,USES_DEVICE,uso de dispositivo
PERSON_097,ADDRESS_017,LIVES_AT,endereço cadastrado
PERSON_098,DEVICE_018,USES_DEVICE,uso de dispositivo
PERSON_098,ADDRESS_013,LIVES_AT,endereço cadastrado
PERSON_099,DEVICE_005,USES_DEVICE,uso de dispositivo
PERSON_099,ADDRESS_007,LIVES_AT,endereço cadastrado
PERSON_100,DEVICE_025,USES_DEVICE,uso de dispositivo
PERSON_100,ADDRESS_012,LIVES_AT,endereço cadastrado
COMPANY_001,ADDRESS_011,REGISTERED_AT,endereço societário
COMPANY_002,ADDRESS_033,REGISTERED_AT,endereço societário
COMPANY_003,ADDRESS_006,REGISTERED_AT,endereço societário
COMPANY_004,ADDRESS_033,REGISTERED_AT,endereço societário
COMPANY_005,ADDRESS_033,REGISTERED_AT,endereço societário
COMPANY_006,ADDRESS_021,REGISTERED_AT,endereço societário
COMPANY_007,ADDRESS_006,REGISTERED_AT,endereço societário
COMPANY_008,ADDRESS_006,REGISTERED_AT,endereço societário
COMPANY_009,ADDRESS_010,REGISTERED_AT,endereço societário
COMPANY_010,ADDRESS_021,REGISTERED_AT,endereço societário
COMPANY_011,ADDRESS_006,REGISTERED_AT,endereço societário
COMPANY_012,ADDRESS_016,REGISTERED_AT,endereço societário
COMPANY_013,ADDRESS_005,REGISTERED_AT,endereço societário
COMPANY_014,ADDRESS_019,REGISTERED_AT,endereço societário
COMPANY_015,ADDRESS_001,REGISTERED_AT,endereço societário
COMPANY_016,ADDRESS_025,REGISTERED_AT,endereço societário
COMPANY_017,ADDRESS_002,REGISTERED_AT,endereço societário
COMPANY_018,ADDRESS_007,REGISTERED_AT,endereço societário
COMPANY_019,ADDRESS_007,REGISTERED_AT,endereço societário
COMPANY_020,ADDRESS_030,REGISTERED_AT,endereço societário
COMPANY_021,ADDRESS_002,REGISTERED_AT,endereço societário
COMPANY_022,ADDRESS_016,REGISTERED_AT,endereço societário
COMPANY_023,ADDRESS_021,REGISTERED_AT,endereço societário
COMPANY_024,ADDRESS_019,REGISTERED_AT,endereço societário
COMPANY_025,ADDRESS_024,REGISTERED_AT,endereço societário
PERSON_001,RISK_001,MATCHED_TO,screening direto
PERSON_002,COMPANY_001,CONTROLS,controle societário
COMPANY_001,RISK_002,MATCHED_TO,screening corporativo
PERSON_003,DEVICE_001,USES_DEVICE,dispositivo compartilhado
PERSON_004,DEVICE_001,USES_DEVICE,dispositivo compartilhado
PERSON_005,DEVICE_001,USES_DEVICE,dispositivo compartilhado
PERSON_005,RISK_003,MATCHED_TO,screening direto
PERSON_006,ADDRESS_001,LIVES_AT,endereço compartilhado
COMPANY_002,ADDRESS_001,REGISTERED_AT,endereço compartilhado
COMPANY_002,RISK_004,MATCHED_TO,screening corporativo
PERSON_020,ADDRESS_035,LIVES_AT,endereço coletivo legítimo
PERSON_021,ADDRESS_035,LIVES_AT,endereço coletivo legítimo
PERSON_022,ADDRESS_035,LIVES_AT,endereço coletivo legítimo
PERSON_023,ADDRESS_035,LIVES_AT,endereço coletivo legítimo
PERSON_024,ADDRESS_035,LIVES_AT,endereço coletivo legítimo
PERSON_025,ADDRESS_035,LIVES_AT,endereço coletivo legítimo
